,chargerId,gpsLat,gpsLong,type,physicalPosition,session.position,carChargeParameter.maxPower,numberStacks,average_current_all_months,polygon,number_charging_station,population_density,amenity_school_count,amenity_university_count,amenity_restaurant_count,amenity_place_of_worship_count,amenity_community_centre_count,amenity_townhall_count,amenity_parking_count,amenity_library_count,leisure_park_count,leisure_cinema_count,building_commercial_count,building_government_count,building_civic_count,building_retail_count,land_use,oneway,lanes,highway,maxspeed,node_count,edge_count
49,9841.0,45.32147,9.37718,CCS2_400,1.0,1,250000.0,4.0,438.65,"POLYGON ((9.373986019706539 45.319209070667604, 9.373986019706539 45.32373092933239, 9.38037398029346 45.32373092933239, 9.38037398029346 45.319209070667604, 9.373986019706539 45.319209070667604))",1,0.097826,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,2,1
50,9842.0,45.72983940534127,9.02800875314488,CCS2_400,4.0,2,0.0,4.0,433.95595238095234,"POLYGON ((9.02479150195569 45.72757847600887, 9.02479150195569 45.73210033467366, 9.03122600433407 45.73210033467366, 9.03122600433407 45.72757847600887, 9.02479150195569 45.72757847600887))",2,0.5045969900990099,0,0,2,0,0,0,11,0,0,0,1,0,0,2,residential,yes,1,service,52.0,4,3
51,9843.0,45.607714,12.298069,CCS2_400,1.0,1,0.0,4.0,413.66363636363633,"POLYGON ((12.294858760689566 45.60545307066761, 12.294858760689566 45.609974929332395, 12.301279239310434 45.609974929332395, 12.301279239310434 45.60545307066761, 12.294858760689566 45.60545307066761))",2,0.4842089999999999,0,0,2,0,0,0,14,0,0,0,0,0,0,2,residential,yes,3,service,70.0,2,1
52,9844.0,45.773998,9.04934,CCS2_400,4.0,2,0.0,4.0,429.5079365079365,"POLYGON ((9.046120202275835 45.771737070667605, 9.046120202275835 45.77625892933239, 9.052559797724166 45.77625892933239, 9.052559797724166 45.771737070667605, 9.046120202275835 45.771737070667605))",1,0.36325034482758617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,residential,yes,2,motorway,52.5,2,1
53,9918.0,44.28766933773564,8.441119911448869,CCS2_400,1.0,1,0.0,4.0,425.18174665617624,"POLYGON ((8.43798266227045 44.28540840840325, 8.43798266227045 44.28993026706804, 8.444257160627288 44.28993026706804, 8.444257160627288 44.28540840840325, 8.43798266227045 44.28540840840325))",1,0.5582277333333333,0,0,1,2,0,0,5,0,0,0,0,0,0,0,commercial,yes,1,motorway_link,51.132075471698116,12,12
54,9919.0,44.87931,11.57079,CCS2_400,4.0,2,0.0,4.0,441.9142045454546,"POLYGON ((11.567620659365646 44.8770490706676, 11.567620659365646 44.88157092933239, 11.573959340634355 44.88157092933239, 11.573959340634355 44.8770490706676, 11.567620659365646 44.8770490706676))",2,0.39024937499999995,0,0,0,0,0,0,26,0,0,0,0,0,0,2,Other,yes,2,service,130.0,0,0
55,9920.0,45.46226590000001,9.2378661,CCS2_400,4.0,2,326000.0,4.0,596.8759090909091,"POLYGON ((9.234664152943107 45.46000497066762, 9.234664152943107 45.46452682933241, 9.241068047056892 45.46452682933241, 9.241068047056892 45.46000497066762, 9.234664152943107 45.46000497066762))",1,6.358738268,3,0,2,0,0,0,2,0,0,0,0,0,0,0,residential,yes,2,footway,43.5,35,52
56,9921.0,45.76298,8.80962,CCS2_400,1.0,1,0.0,4.0,424.2805429864253,"POLYGON ((8.806400838217566 45.760719070667605, 8.806400838217566 45.76524092933239, 8.812839161782435 45.76524092933239, 8.812839161782435 45.760719070667605, 8.806400838217566 45.760719070667605))",2,1.6001753559322034,0,0,0,0,0,0,4,0,0,0,3,0,0,2,residential,yes,2,service,50.0,0,0
57,9922.0,45.4616799,9.2765061,CCS2_400,4.0,2,100000.0,4.0,548.5677450980392,"POLYGON ((9.273304186223664 45.459418970667606, 9.273304186223664 45.463940829332394, 9.279708013776338 45.463940829332394, 9.279708013776338 45.459418970667606, 9.273304186223664 45.459418970667606))",1,0.0006679563106796116,0,0,0,0,0,0,12,0,0,0,0,0,0,0,other,yes,2,service,41.76470588235294,20,33
58,10268.0,43.8318004140493,11.160087277850982,CCS2_400,4.0,2,0.0,4.0,444.51082251082255,"POLYGON ((11.156974091309133 43.8295394847169, 11.156974091309133 43.83406134338169, 11.163200464392832 43.83406134338169, 11.163200464392832 43.8295394847169, 11.156974091309133 43.8295394847169))",1,0.36757990099009896,0,0,0,1,0,0,3,0,0,0,0,0,0,0,residential,yes,1,service,50.526315789473685,6,7
59,10287.0,43.65052,11.46442,CCS2_400,1.0,1,0.0,4.0,434.1333333333333,"POLYGON ((11.461316225566868 43.648259070667606, 11.461316225566868 43.652780929332394, 11.467523774433133 43.652780929332394, 11.467523774433133 43.648259070667606, 11.461316225566868 43.648259070667606))",2,1.0856003157894736,0,0,1,0,0,0,2,0,0,0,0,0,0,0,residential,yes,1,service,63.333333333333336,0,0
