,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
641,"POLYGON ((-78009.95076677296 5021388.537881374, -78046.77435519348 5020894.746358594, -78546.02223346452 5020931.975543499, -78509.19816936529 5021425.769900237, -78009.95076677296 5021388.537881374))",0,[],5.499429921641792,Other,31,50,0.053763440860215,0,0,0,0,0,0,5,0,0,1,0,0,1,Yes,{'secondary'},3.125,50.0,Turin
642,"POLYGON ((-78046.77435519348 5020894.746358594, -78083.59514050523 5020400.954365449, -78582.84349445312 5020438.180716162, -78546.02223346452 5020931.975543499, -78046.77435519348 5020894.746358594))",0,[],10.825244302904563,Other,29,56,0.0689655172413793,1,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Turin
643,"POLYGON ((-78083.59514050523 5020400.954365449, -78120.41312247829 5019907.1619019415, -78619.66195210128 5019944.385418231, -78582.84349445312 5020438.180716162, -78083.59514050523 5020400.954365449))",0,[],13.004158875939847,Other,51,96,0.0376470588235294,1,0,1,0,0,0,1,0,1,0,0,0,0,No,,,,Turin
644,"POLYGON ((-78120.41312247829 5019907.1619019415, -78157.22830088297 5019413.368968072, -78656.47760617884 5019450.58964971, -78619.66195210128 5019944.385418231, -78120.41312247829 5019907.1619019415))",0,[],9.955093748466258,Other,22,45,0.0974025974025974,0,0,0,1,0,0,1,0,1,2,0,0,0,Yes,{'tertiary'},3.111111111111111,50.0,Turin
645,"POLYGON ((-78157.22830088297 5019413.368968072, -78194.04067548958 5018919.575563847, -78693.29045645706 5018956.793410595, -78656.47760617884 5019450.58964971, -78157.22830088297 5019413.368968072))",0,[],2.27558709,Other,41,72,0.0439024390243902,0,0,0,0,0,0,4,0,0,0,0,0,0,Yes,"{'primary', 'residential'}",2.631578947368421,51.0,Turin
646,"POLYGON ((-78194.04067548958 5018919.575563847, -78230.85024606867 5018425.781689263, -78730.1005027059 5018462.996700889, -78693.29045645706 5018956.793410595, -78194.04067548958 5018919.575563847))",0,[],7.546312257352942,Other,42,72,0.0418118466898954,0,0,1,0,0,0,1,0,0,0,0,0,1,Yes,"{'primary', 'residential'}",1.8888888888888888,41.11111111111112,Turin
647,"POLYGON ((-78230.85024606867 5018425.781689263, -78267.65701239079 5017931.987344322, -78766.90774469555 5017969.199520598, -78730.1005027059 5018462.996700889, -78230.85024606867 5018425.781689263))",0,[],14.626805461988305,Other,38,71,0.0504978662873399,1,0,1,1,0,0,0,0,1,0,0,0,5,Yes,"{'primary', 'residential'}",1.6666666666666667,43.333333333333336,Turin
648,"POLYGON ((-78267.65701239079 5017931.987344322, -78304.460974226 5017438.192529028, -78803.71218219702 5017475.401869722, -78766.90774469555 5017969.199520598, -78267.65701239079 5017931.987344322))",0,[],14.55219008757062,Other,53,90,0.0326560232220609,0,0,3,0,0,0,0,0,0,1,0,0,2,Yes,"{'primary', 'tertiary', 'residential'}",1.8823529411764703,32.77777777777778,Turin
649,"POLYGON ((-78304.460974226 5017438.192529028, -78341.26213134488 5016944.397243382, -78840.51381498005 5016981.60374826, -78803.71218219702 5017475.401869722, -78304.460974226 5017438.192529028))",0,[],14.598996629032255,Other,30,57,0.0655172413793103,0,0,3,0,0,0,0,1,2,1,0,0,1,Yes,"{'primary', 'tertiary'}",1.5,37.27272727272727,Turin
650,"POLYGON ((-78341.26213134488 5016944.397243382, -78378.06048351806 5016450.601487386, -78877.31264281564 5016487.805156214, -78840.51381498005 5016981.60374826, -78341.26213134488 5016944.397243382))",1,[[<POINT (7.648 45.065)>]],18.311011830028328,Other,46,88,0.0425120772946859,0,0,12,1,0,0,2,0,0,4,0,0,1,Yes,"{'residential', 'secondary'}",4.333333333333333,43.333333333333336,Turin
