,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
33,Location 34,45.5534352466751,8.15063028616747,"POLYGON ((8.147423148821085 45.551174317342706, 8.147423148821085 45.555696176007494, 8.153837423513854 45.555696176007494, 8.153837423513854 45.551174317342706, 8.147423148821085 45.551174317342706))",1,0.25663787499999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,track,90.0,5,4,0.2
34,Location 35,44.8386944444444,8.18605555555555,"POLYGON ((8.182888449769537 44.836433515112006, 8.182888449769537 44.840955373776794, 8.189222661341562 44.840955373776794, 8.189222661341562 44.836433515112006, 8.182888449769537 44.836433515112006))",1,1.2239723749999998,0,0,2,0,0,0,1,0,0,0,0,0,0,0,residential,yes,2,secondary,70.0,7,12,0.2857142857142857
35,Location 36,42.3366056889619,13.4611299409853,"POLYGON ((13.45809182544001 42.33434475962951, 13.45809182544001 42.3388666182943, 13.46416805653059 42.3388666182943, 13.46416805653059 42.33434475962951, 13.45809182544001 42.33434475962951))",1,0.041203661290322574,0,0,1,0,0,0,11,0,0,0,3,0,0,0,residential,yes,2,service,70.0,0,0,0.0
36,Location 37,44.4841080432498,7.87505469724417,"POLYGON ((7.871906902431533 44.481847113917404, 7.871906902431533 44.48636897258219, 7.878202492056808 44.48636897258219, 7.878202492056808 44.481847113917404, 7.871906902431533 44.481847113917404))",1,1.231042412621359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other,yes,,secondary,,27,47,0.06695156695156695
37,Location 38,40.611355,15.729283,"POLYGON ((15.726324690501853 40.60909407066761, 15.726324690501853 40.6136159293324, 15.732241309498148 40.6136159293324, 15.732241309498148 40.60909407066761, 15.726324690501853 40.60909407066761))",1,0.4967613157894736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,motorway_link,45.21739130434783,18,30,0.09803921568627451
38,Location 39,45.8042277578826,12.8809576106778,"POLYGON ((12.87773606623611 45.801966828550206, 12.87773606623611 45.806488687214994, 12.88417915511949 45.806488687214994, 12.88417915511949 45.801966828550206, 12.87773606623611 45.801966828550206))",1,0.16852190476190476,0,0,1,0,0,0,2,0,0,0,0,0,0,0,residential,yes,2,service,130.0,2,1,0.5
39,Location 40,43.328693404477,11.5074118092531,"POLYGON ((11.50432452887022 43.32643247514461, 11.50432452887022 43.330954333809395, 11.51049908963598 43.330954333809395, 11.51049908963598 43.32643247514461, 11.50432452887022 43.32643247514461))",1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,no,2,service,,0,0,0.0
40,Location 41,41.4144682,13.1707829,"POLYGON ((13.167788306030959 41.41220727066761, 13.167788306030959 41.416729129332396, 13.173777493969043 41.416729129332396, 13.173777493969043 41.41220727066761, 13.167788306030959 41.41220727066761))",1,0.49076899999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,,unclassified,,6,12,0.4
41,Location 42,42.9294977649138,11.2660666067337,"POLYGON ((11.262999410039201 42.927236835581404, 11.262999410039201 42.93175869424619, 11.269133803428199 42.93175869424619, 11.269133803428199 42.927236835581404, 11.262999410039201 42.927236835581404))",1,1.289237414893617,0,0,1,0,0,0,5,0,1,0,0,0,0,0,residential,yes,2,service,110.0,2,2,1.0
42,Location 43,44.499556,7.493194,"POLYGON ((7.490045371298344 44.497295070667604, 7.490045371298344 44.50181692933239, 7.4963426287016555 44.50181692933239, 7.4963426287016555 44.497295070667604, 7.490045371298344 44.497295070667604))",1,0.24347360264900655,0,0,1,0,0,0,1,0,1,0,1,0,0,0,residential,yes,1,service,51.53846153846154,14,21,0.11538461538461539
