connector_station_id,chargePointIdentity,station_city,gpsLat,gpsLong,station_brand,serialNumber,station_installation_year,station_installation_month,station_installation_week
446020,IT*F2X*EF2XITB2501*1,Roma,41.891249,12.75905,alpitronic GmbH,HYC_300_22BZ3020B - HYC_300_22BZ3020B,2022,12,52
446020,IT*F2X*EF2XITB2501*2,Roma,41.891249,12.75905,alpitronic GmbH,HYC_300_22BZ3020B - HYC_300_22BZ3020B,2022,12,52
381881,IT*F2X*EF2XITD2001*2,Caponago,45.57584,9.39376,alpitronic GmbH,HYC_300_21BZ3103B - HYC_300_21BZ3103B,0,0,0
381882,IT*F2X*EF2XITD2002*1,Caponago,45.57585,9.39382,alpitronic GmbH,HYC_300_21BZ3096B - HYC_300_21BZ3096B,0,0,0
446023,IT*F2X*EF2XITB2551*1,Roma,41.891073,12.759,EVTEC,22401923 10941.1A - 22401923 10941.1A,2022,12,52
381882,IT*F2X*EF2XITD2002*2,Caponago,45.57585,9.39382,alpitronic GmbH,HYC_300_21BZ3096B - HYC_300_21BZ3096B,0,0,0
424014,IT*F2X*EF2XITN8151*1,Torre Cerrano,42.530677,14.124067,EVTEC,22261388 10941.0B - 22261388 10941.0B,2022,10,40
424014,IT*F2X*EF2XITN8151*2,Torre Cerrano,42.530677,14.124067,EVTEC,22261388 10941.0B - 22261388 10941.0B,2022,10,40
424014,IT*F2X*EF2XITN8151*3,Torre Cerrano,42.530677,14.124067,EVTEC,22261388 10941.0B - 22261388 10941.0B,2022,10,40
446023,IT*F2X*EF2XITB2551*2,Roma,41.891073,12.759,EVTEC,22401923 10941.1A - 22401923 10941.1A,2022,12,52
446023,IT*F2X*EF2XITB2551*3,Roma,41.891073,12.759,EVTEC,22401923 10941.1A - 22401923 10941.1A,2022,12,52
483277,IT*F2X*EF2XITP4151*1,Vallata,41.064668,15.314502,EVTEC,23021993 10941.1A - 23021993 10941.1A,2023,3,9
480583,IT*F2X*EF2XITA3001*1,Modena,44.662303,10.858004,alpitronic GmbH,HYC_300_21BZ2781B - HYC_300_21BZ2781B,2023,2,7
480583,IT*F2X*EF2XITA3001*2,Modena,44.662303,10.858004,alpitronic GmbH,HYC_300_21BZ2781B - HYC_300_21BZ2781B,2023,2,7
480584,IT*F2X*EF2XITA3002*1,Modena,44.662299,10.857972,alpitronic GmbH,HYC_300_21BZ2727B - HYC_300_21BZ2727B,2023,2,7
480584,IT*F2X*EF2XITA3002*2,Modena,44.662299,10.857972,alpitronic GmbH,HYC_300_21BZ2727B - HYC_300_21BZ2727B,2023,2,7
405673,IT*F2X*EF2XITH3001*1,Cascine Maggio,45.762379,8.810866,alpitronic GmbH,HYC_300_22BZ0562B - HYC_300_22BZ0562B,2022,7,28
405673,IT*F2X*EF2XITH3001*2,Cascine Maggio,45.762379,8.810866,alpitronic GmbH,HYC_300_22BZ0562B - HYC_300_22BZ0562B,2022,7,28
405674,IT*F2X*EF2XITH3002*1,Cascine Maggio,45.762405,8.81087,alpitronic GmbH,HYC_300_22BZ1156B - HYC_300_22BZ1156B,2022,7,28
405674,IT*F2X*EF2XITH3002*2,Cascine Maggio,45.762405,8.81087,alpitronic GmbH,HYC_300_22BZ1156B - HYC_300_22BZ1156B,2022,7,28
419188,IT*F2X*EF2XITLINC03*1,Milano,45.461865,9.276166,alpitronic GmbH,HYC_300_22BZ0671B - HYC_300_22BZ0671B,0,0,0
419188,IT*F2X*EF2XITLINC03*2,Milano,45.461865,9.276166,alpitronic GmbH,HYC_300_22BZ0671B - HYC_300_22BZ0671B,0,0,0
480585,IT*F2X*EF2XITA3051*1,Modena,44.66244,10.858156,alpitronic GmbH,HYC_150_21BZ2008A - HYC_150_21BZ2008A,2023,2,7
480585,IT*F2X*EF2XITA3051*2,Modena,44.66244,10.858156,alpitronic GmbH,HYC_150_21BZ2008A - HYC_150_21BZ2008A,2023,2,7
1020629,IT*F2X*EF2XITA9003*1,Civitella D'agliano,42.623415,12.232488,alpitronic GmbH,HYC_400_24BZ5260D - HYC_400_24BZ5260D,2024,7,29
1020629,IT*F2X*EF2XITA9003*2,Civitella D'agliano,42.623415,12.232488,alpitronic GmbH,HYC_400_24BZ5260D - HYC_400_24BZ5260D,2024,7,29
419191,IT*F2X*EF2XITLINC05*1,Milano,45.46187,9.275956,alpitronic GmbH,HYC_300_22BZ0686B - HYC_300_22BZ0686B,2022,9,37
419191,IT*F2X*EF2XITLINC05*2,Milano,45.46187,9.275956,alpitronic GmbH,HYC_300_22BZ0686B - HYC_300_22BZ0686B,2022,9,37
482348,IT*F2X*EF2XITA8651*1,Fabro,42.876654,12.017233,EVTEC,23032060 10941.1A - 23032060 10941.1A,2023,2,8
482348,IT*F2X*EF2XITA8651*2,Fabro,42.876654,12.017233,EVTEC,23032060 10941.1A - 23032060 10941.1A,2023,2,8
482348,IT*F2X*EF2XITA8651*3,Fabro,42.876654,12.017233,EVTEC,23032060 10941.1A - 23032060 10941.1A,2023,2,8
403126,IT*F2X*EF2XITA1001*1,Melegnano,45.321512,9.37723,alpitronic GmbH,HYC_300_22BZ0558B - HYC_300_22BZ0558B,2022,8,34
403126,IT*F2X*EF2XITA1001*2,Melegnano,45.321512,9.37723,alpitronic GmbH,HYC_300_22BZ0558B - HYC_300_22BZ0558B,2022,8,34
403127,IT*F2X*EF2XITA1002*1,Melegnano,45.32147,9.377177,alpitronic GmbH,HYC_300_22BZ0668B - HYC_300_22BZ0668B,2022,7,26
403127,IT*F2X*EF2XITA1002*2,Melegnano,45.32147,9.377177,alpitronic GmbH,HYC_300_22BZ0668B - HYC_300_22BZ0668B,2022,7,26
1014273,IT*F2X*EF2XITN3604*2,Riccione,43.994404,12.618473,alpitronic GmbH,HYC_400_24BZ5256D - HYC_400_24BZ5256D,2024,6,26
1014274,IT*F2X*EF2XITM2003*1,Ferrara,44.879328,11.570735,alpitronic GmbH,HYC_400_24BZ4453D - HYC_400_24BZ4453D,2024,6,26
1014274,IT*F2X*EF2XITM2003*2,Ferrara,44.879328,11.570735,alpitronic GmbH,HYC_400_24BZ4453D - HYC_400_24BZ4453D,2024,6,26
1014275,IT*F2X*EF2XITM2004*1,Ferrara,44.879328,11.570781,alpitronic GmbH,HYC_400_24BZ5277D - HYC_400_24BZ5277D,2024,6,26
579166,IT*F2X*EF2XITN1051*1,Castel San Pietro Terme,44.429416,11.600241,EVTEC,23092091 10941.1A - 23092091 10941.1A,2023,4,14
579166,IT*F2X*EF2XITN1051*2,Castel San Pietro Terme,44.429416,11.600241,EVTEC,23092091 10941.1A - 23092091 10941.1A,2023,4,14
579166,IT*F2X*EF2XITN1051*3,Castel San Pietro Terme,44.429416,11.600241,EVTEC,23092091 10941.1A - 23092091 10941.1A,2023,4,14
579167,IT*F2X*EF2XITN1001*1,Castel San Pietro Terme,44.42926,11.600198,alpitronic GmbH,HYC_300_22BZ3008B - HYC_300_22BZ3008B,2023,4,14
579167,IT*F2X*EF2XITN1001*2,Castel San Pietro Terme,44.42926,11.600198,alpitronic GmbH,HYC_300_22BZ3008B - HYC_300_22BZ3008B,2023,4,14
579168,IT*F2X*EF2XITN1002*1,Castel San Pietro Terme,44.429218,11.600174,alpitronic GmbH,HYC_300_22BZ3007B - HYC_300_22BZ3007B,2023,4,14
579168,IT*F2X*EF2XITN1002*2,Castel San Pietro Terme,44.429218,11.600174,alpitronic GmbH,HYC_300_22BZ3007B - HYC_300_22BZ3007B,2023,4,14
1014275,IT*F2X*EF2XITM2004*2,Ferrara,44.879328,11.570781,alpitronic GmbH,HYC_400_24BZ5277D - HYC_400_24BZ5277D,2024,6,26
424046,IT*F2X*EF2XITN8051*1,Torre Cerrano,42.531791,14.124218,EVTEC,22351743 10941.1A - 22351743 10941.1A,2022,10,40
424046,IT*F2X*EF2XITN8051*2,Torre Cerrano,42.531791,14.124218,EVTEC,22351743 10941.1A - 22351743 10941.1A,2022,10,40
424046,IT*F2X*EF2XITN8051*3,Torre Cerrano,42.531791,14.124218,EVTEC,22351743 10941.1A - 22351743 10941.1A,2022,10,40
444658,IT*F2X*EF2XITB4002*1,Anagni,41.686526,13.188619,alpitronic GmbH,HYC_300_22BZ5326B - HYC_300_22BZ5326B,0,0,0
444658,IT*F2X*EF2XITB4002*2,Anagni,41.686526,13.188619,alpitronic GmbH,HYC_300_22BZ5326B - HYC_300_22BZ5326B,0,0,0
444659,IT*F2X*EF2XITB4001*1,Anagni,41.686553,13.188656,alpitronic GmbH,HYC_300_22BZ5325B - HYC_300_22BZ5325B,2022,12,51
444659,IT*F2X*EF2XITB4001*2,Anagni,41.686553,13.188656,alpitronic GmbH,HYC_300_22BZ5325B - HYC_300_22BZ5325B,2022,12,51
581003,IT*F2X*EF2XITA7001*1,Civitella In Val di Chiana,43.405595,11.763815,alpitronic GmbH,HYC_300_22BZ6982B - HYC_300_22BZ6982B,2023,4,16
581003,IT*F2X*EF2XITA7001*2,Civitella In Val di Chiana,43.405595,11.763815,alpitronic GmbH,HYC_300_22BZ6982B - HYC_300_22BZ6982B,2023,4,16
